epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8955,1.97222,4.01162,2.45169,0.00318,0.80754,0.0865,0.03131,1.91963,5.00331,3.02678,0.00015,0.00015,0.00015
2,133.905,1.77423,3.8477,2.24399,0.00439,0.83968,0.13815,0.04705,2.00909,4.90824,2.87535,0.000303862,0.000303862,0.000303862
3,197.535,1.67494,3.76328,2.08605,0.00448,0.80635,0.06983,0.0176,2.49019,5.09156,3.17906,0.000451388,0.000451388,0.000451388
4,260.863,1.65937,3.56474,2.02249,0.00376,0.7504,0.03972,0.01066,2.7035,5.02806,3.46098,0.000592578,0.000592578,0.000592578
5,324.352,1.62254,3.48848,2.00491,0.00372,0.79246,0.07031,0.0243,2.18051,4.79698,3.16494,0.000727432,0.000727432,0.000727432
6,387.398,1.60333,3.46107,2.02026,0.89399,0.04167,0.11803,0.05292,2.18233,4.69245,3.31841,0.00085595,0.00085595,0.00085595
7,450.105,1.66036,3.31955,2.03781,0.19817,0.125,0.13362,0.05478,2.08282,5.2119,3.20461,0.0008812,0.0008812,0.0008812
8,513.597,1.78365,3.35927,2.12468,0.98784,0.04167,0.07689,0.03322,2.092,4.9053,3.10404,0.0008614,0.0008614,0.0008614
9,576.149,1.63399,3.32589,2.05625,0.90074,0.04167,0.09399,0.02629,2.00838,4.51557,3.02481,0.0008416,0.0008416,0.0008416
10,639.366,1.74252,3.29348,2.04831,0.37905,0.27412,0.09183,0.03358,2.10868,4.33659,3.33784,0.0008218,0.0008218,0.0008218
11,702.58,1.74193,3.24579,2.08613,0.41072,0.18733,0.08454,0.03747,2.26897,4.34519,3.39202,0.000802,0.000802,0.000802
12,765.489,1.71786,3.17666,2.04943,0.38307,0.16667,0.07734,0.03545,2.28401,4.37337,3.28556,0.0007822,0.0007822,0.0007822
13,828.1,1.65219,3.16458,1.99134,0.32649,0.15278,0.116,0.04615,2.11594,4.43962,3.11484,0.0007624,0.0007624,0.0007624
14,891.25,1.69251,3.19806,2.03341,0.31522,0.30601,0.10908,0.04212,2.1849,4.7546,3.1155,0.0007426,0.0007426,0.0007426
15,954.276,1.59768,3.05506,1.95926,0.0298,0.14048,0.03371,0.01154,2.41986,5.36182,3.24739,0.0007228,0.0007228,0.0007228
16,1017.13,1.72855,3.23561,2.09265,0.11819,0.21548,0.14145,0.05754,2.44926,5.0871,3.44853,0.000703,0.000703,0.000703
17,1080.68,1.70551,3.09381,2.0369,0.14314,0.21548,0.13002,0.05014,2.41614,4.87308,3.53151,0.0006832,0.0006832,0.0006832
18,1143.75,1.57848,2.97238,1.99753,0.4628,0.29048,0.16464,0.07172,2.2072,4.53822,3.36269,0.0006634,0.0006634,0.0006634
19,1207.16,1.65091,3.05423,2.00255,0.41728,0.2506,0.12943,0.06887,2.17898,4.58823,3.11695,0.0006436,0.0006436,0.0006436
20,1270.54,1.67753,3.03829,2.01848,0.85872,0.10512,0.1664,0.10659,2.23042,4.33961,3.10245,0.0006238,0.0006238,0.0006238
21,1333.82,1.64542,3.08492,1.9803,0.57966,0.17103,0.21431,0.09488,2.38768,4.2417,3.27302,0.000604,0.000604,0.000604
22,1397.22,1.58564,2.92274,1.91993,0.36438,0.27659,0.23589,0.11511,2.16956,4.04135,3.23363,0.0005842,0.0005842,0.0005842
23,1460.95,1.54116,2.91214,1.94552,0.29534,0.21548,0.15664,0.05689,2.09313,4.02689,3.03914,0.0005644,0.0005644,0.0005644
24,1524.34,1.51255,2.8419,1.90929,0.49058,0.13214,0.1643,0.06524,2.08535,4.26808,2.87929,0.0005446,0.0005446,0.0005446
25,1587.51,1.52436,2.85657,1.95186,0.65881,0.19762,0.20677,0.09004,2.00762,4.04249,2.86161,0.0005248,0.0005248,0.0005248
